word,definition,part_of_speech,synonyms
carboxylase,an enzyme that catalyzes decarboxylation or carboxylation,noun,"['carboxylase', 'carboxylases']"
carbonyl,"an organic functional group CO occurring in aldehydes, ketones, carboxylic acids, esters, and their derivatives",noun,"['carbonyl', 'carbonylic', 'carbonyls']"
carboxylate,to introduce carboxyl or carbon dioxide into (a compound) with formation of a carboxylic acid,transitive verb,"['carboxylate', 'carboxylated', 'carboxylates', 'carboxylating', 'carboxylation', 'carboxylations']"
carboxylic acid,an organic acid (as an acetic acid) containing one or more carboxyl groups,noun,"['carboxylic acid', 'carboxylic acids']"
carboplatin,a platinum-containing antineoplastic drug C6H12N2O4Pt that is an analog of cisplatin with somewhat reduced toxicity and that is administered intravenously in the treatment of various cancers (as of the ovary or lung),noun,['carboplatin']
carboxypeptidase,an enzyme that hydrolyzes peptides and especially polypeptides by splitting off sequentially the amino acids at the end of the peptide chain which contain free carboxyl groups,noun,"['carboxypeptidase', 'carboxypeptidases']"
Aschheim-Zondek test,a test formerly used especially to determine human pregnancy in its early stages on the basis of the effect of a subcutaneous injection of the patient's urine on the ovaries of an immature female mouse,noun,"['Aschheim', 'Aschheim-Zondek test', 'Zondek']"
acetometer,an instrument for estimating the amount of acetic acid in a solution (as vinegar),noun,"['acetimeter', 'acetimeters', 'acetometer', 'acetometers']"
katharometer,an apparatus for determining the composition of a gas mixture by measuring thermal conductivity that has been used to determine the basal metabolic rate by measuring the rate of production of carbon dioxide based on the composition of expired air,noun,"['katharometer', 'katharometers']"
magnetometer,an instrument used to detect the presence of a metallic object or to measure the intensity of a magnetic field,noun,"['magnetometer', 'magnetometers', 'magnetometric', 'magnetometries', 'magnetometry']"
esthesiometer,an instrument for measuring sensory discrimination; especially : one for determining the distance by which two points pressed against the skin must be separated in order that they may be felt as separate,noun,"['aesthesiometer', 'esthesiometer', 'esthesiometers']"
adaptometer,a device for determining the efficiency of dark adaptation in the human eye,noun,"['adaptometer', 'adaptometers', 'adaptometries', 'adaptometry']"
aerometer,an instrument for ascertaining the weight or density of air or other gases,noun,"['aerometer', 'aerometers']"
apertometer,an instrument for measuring the numerical aperture of objectives (as those of a microscope),noun,"['apertometer', 'apertometers']"
arthrometer,an instrument for measuring the range of movement of a joint,noun,['arthrometer']
atmometer,an instrument for measuring the evaporating capacity of the air,noun,"['atmometer', 'atmometers']"
capnometer,a monitoring device that measures and numerically displays the concentration of carbon dioxide in exhaled air,noun,"['capnometer', 'capnometry']"
cardiometer,an instrument used in measuring the force of the heart's action,noun,"['cardiometer', 'cardiometers', 'cardiometric', 'cardiometries', 'cardiometry']"
catheter,"a tubular medical device for insertion into canals, vessels, passageways, or body cavities for diagnostic or therapeutic purposes (as to permit injection or withdrawal of fluids or to keep a passage open)",noun,"['catheter', 'catheters']"
cyrtometer,an instrument used for delineating or measuring the dimensions of curved surfaces especially of the chest and head,noun,"['cyrtometer', 'cyrtometers']"
cystometer,an instrument designed to measure pressure within the urinary bladder in relation to its capacity,noun,"['cystometer', 'cystometers', 'cystometric', 'cystometries', 'cystometry']"
myoblast,an undifferentiated cell capable of giving rise to muscle cells,noun,"['myoblast', 'myoblasts']"
myeloblast,a large mononuclear nongranular bone marrow cell; especially : one that is a precursor of a myelocyte,noun,"['myeloblast', 'myeloblastic', 'myeloblasts']"
myoblastoma,a tumor that is composed of cells resembling primitive myoblasts and is associated with striated muscle,noun,"['myoblastoma', 'myoblastomas', 'myoblastomata']"
meroblastic,characterized by or being incomplete cleavage as a result of the presence of an impeding mass of yolk material (as in the eggs of birds),adjective,"['meroblastic', 'meroblastically']"
mesoblastic,"relating to, derived from, or made up of mesoblast",adjective,['mesoblastic']
ameloblast,any of a group of columnar epithelial cells that produce and deposit enamel on the surface of a developing vertebrate tooth,noun,"['ameloblast', 'ameloblastic', 'ameloblasts']"
holoblastic,characterized by cleavage planes that divide the whole egg into distinct and separate though coherent blastomeres,adjective,"['holoblastic', 'holoblastically']"
hypoplasia,a condition of arrested development in which an organ or part remains below the normal size or in an immature state,noun,"['hypoplasia', 'hypoplasias', 'hypoplastic']"
trichiasis,a turning inward of the eyelashes often causing irritation of the eyeball,noun,"['trichiasis', 'trichiasises']"
trichocyst,any of the minute projectile organs that release adhesive threads when discharged and that occur on the body of protozoans and especially of many ciliates,noun,"['trichocyst', 'trichocysts']"
trichomoniasis,infection with or disease caused by trichomonads: as,noun,"['roup', 'trichomoniases', 'trichomoniasis']"
APC,a tumor suppressor gene that in a defective form tends to be associated with a high risk of colorectal cancer,noun,"['APC', 'APCs']"
APS,antiphospholipid syndrome; antiphospholipid antibody syndrome,abbreviation,['APS']
pus,"a thick, opaque, usually yellowish-white, fluid matter that is formed as part of an inflammatory response typically associated with an infection and is composed of exudate chiefly containing dead white blood cells (as neutrophils), tissue debris, and pathogenic microorganisms (as bacteria)",noun,"['pus', 'puses']"
multidentate,"being, containing, or involving a ligand that can form bonds at more than one point",adjective,['multidentate']
multifactorial,caused or marked by a polygenic mode of inheritance dependent on a number of genes at different loci; also : caused by or dependent on the interaction of multiple genes combined with one or more environmental factors,adjective,"['multifactor', 'multifactorial', 'multifactorialities', 'multifactoriality', 'multifactorially']"
zirconium,a steel-gray strong ductile chiefly tetravalent metallic element with a high melting point —symbol Zr,noun,"['zirconium', 'zirconiums']"
conium,"a genus of poisonous herbs (family Umbelliferae) that have spotted stems, large divided leaves and white flowers and that include the poison hemlock",noun,"['conium', 'coniums']"
ionium,a natural radioactive isotope of thorium having a mass number of 230,noun,"['ionium', 'ioniums']"
meconium,"a dark greenish mass of desquamated cells, mucus, and bile that accumulates in the bowel of a fetus and is typically discharged shortly after birth",noun,"['meconium', 'meconiums']"
titanium,a silvery gray light strong metallic element found combined in ilmenite and rutile and used especially in alloys (as steel) and combined in refractory materials and in coatings —symbol Ti,noun,"['titanium', 'titaniums']"
diazonium,the monovalent cation N2+ that is composed of two nitrogen atoms united to carbon in an organic radical and that usually exists in salts used in the manufacture of azo dyes,noun,"['diazonium', 'diazoniums']"
vicarious,occurring in an unexpected or abnormal part of the body instead of the usual one,adjective,"['vicarious', 'vicariously', 'vicariousness', 'vicariousnesses']"
vicianose,a crystalline disaccharide sugar C11H20O10 that yields arabinose and glucose on hydrolysis,noun,"['vicianose', 'vicianoses']"
einsteinium,a radioactive element produced artificially —symbol Es,noun,"['einsteinium', 'einsteiniums']"
pericranium,"the deepest layer of the scalp that is composed of dense, fibrous connective tissue : the periosteum of the outer skull",noun,"['pericrania', 'pericranial', 'pericranium']"
hemicholinium,any of several blockers of the parasympathetic nervous system that interfere with the synthesis of acetylcholine,noun,"['hemicholinium', 'hemicholiniums']"
delphinium,a large genus of chiefly perennial herbaceous plants of the buttercup family (Ranunculaceae) that have lobed leaves and typically white or blue flowers in dense showy spikes and that contain toxic alkaloids,noun,"['delphinia', 'delphinium', 'delphiniums', 'Delphinium']"
allosteric,"of, relating to, or being a change in the shape and activity of a protein (as an enzyme) that results from combination with another substance at a point other than the chemically active site",adjective,"['allosteric', 'allosterically', 'allosteries', 'allostery']"
alligation,a process or rule for the solution of problems concerning the compounding or mixing of ingredients differing in price or quality:,noun,"['alligation', 'alligation alternate', 'alligation medial', 'alligations']"
allopathy,"a system of medical practice that emphasizes diagnosing and treating disease and the use of conventional, evidence-based therapeutic measures (such as drugs or surgery) : allopathic medicine",noun,"['allopathies', 'allopathy']"
allometry,relative growth of a part in relation to an entire organism or to a standard; also : the measure and study of such growth,noun,"['allometric', 'allometries', 'allometry']"
evocator,the specific chemical constituent responsible for the physiological effects of an organizer,noun,"['evocator', 'evocators']"
allochiria,a condition associated with a central nervous lesion in which sensation is referred to a locus on the side of the body opposite to the place on which the skin is stimulated,noun,"['allocheiria', 'allocheirias', 'allochiria', 'allochirias']"
allelocatalysis,the mutually stimulating effect on the rate of growth and reproduction of two or more microorganisms in a volume of medium as compared to the rate of a single microorganism in a like volume of the same medium,noun,"['allelocatalyses', 'allelocatalysis', 'allelocatalyst', 'allelocatalysts', 'allelocatalytic']"
agaricin,an impure form of the active principle of medicinal agaric,noun,"['agaricin', 'agaricins']"
mycelium,the mass of interwoven filamentous hyphae that forms especially the vegetative body of a fungus and is often submerged in another body (as of soil or organic matter or the tissues of a host); also : a similar mass of filaments formed by some bacteria (as of the genus Streptomyces),noun,"['mycelia', 'mycelial', 'mycelium']"
micelle,a unit of structure built up from polymeric molecules or ions: as,noun,"['micellar', 'micelle', 'micelles']"
lichenin,a gelatinous polysaccharide (C6H10O5)n composed of glucose units and found especially in several species of moss and lichen and in cereal grains and bulbs,noun,"['lichenin', 'lichenins']"
micromelia,a condition characterized by abnormally small and imperfectly developed extremities,noun,"['micromelia', 'micromelias', 'micromelic']"
epithelium,"a membranous cellular tissue that covers a free surface or lines a tube or cavity of an animal body and serves especially to enclose and protect the other parts of the body, to produce secretions and excretions, and to function in assimilation",noun,"['epithelia', 'epithelium', 'epitheliums']"
ivory,the hard creamy-white modified dentin that composes the tusks of a tusked mammal and especially the elephant,noun,"['ivories', 'ivory']"
neuralgia,acute paroxysmal pain radiating along the course of one or more nerves usually without demonstrable changes in the nerve structure,noun,"['neuralgia', 'neuralgias', 'neuralgic']"
megalomania,a delusional mental illness that is marked by feelings of personal omnipotence and grandeur,noun,"['megalomania', 'megalomaniac', 'megalomaniacal', 'megalomaniacally', 'megalomaniacs', 'megalomanias', 'megalomanic']"
megacin,an antibacterial protein produced by some strains of a bacterium of the genus Bacillus (B. megaterium),noun,['megacin']
gomphosis,an immovable articulation in which a hard part is received into a bone cavity (as the teeth into the jaws),noun,"['gomphosis', 'gomphosises']"
agoraphobia,abnormal fear of being helpless in a situation from which escape may be difficult or embarrassing that is characterized initially often by panic or anticipatory anxiety and finally by avoidance of open or public places,noun,"['agoraphobe', 'agoraphobes', 'agoraphobia', 'agoraphobias', 'agoraphobic', 'agoraphobics']"
anamorphosis,a gradually ascending progression or change of form from one type to another in the evolution of a group of animals or plants,noun,"['anamorphoses', 'anamorphosis']"
angiomatosis,a condition characterized by the formation of multiple angiomas,noun,"['angiomatoses', 'angiomatosis']"
paedomorphosis,phylogenetic change that involves retention of juvenile characters by the adult,noun,"['paedomorphoses', 'paedomorphosis', 'pedomorphoses', 'pedomorphosis']"
aphosphorosis,"a deficiency disease especially of domestic cattle caused by inadequate intake of dietary phosphorus and marked by lameness, scouring, and loss of appetite",noun,"['aphosphoroses', 'aphosphorosis']"
cytomorphosis,the series of developmental changes undergone by a cell during its life,noun,"['cytomorphoses', 'cytomorphosis']"
acanthosis,a benign overgrowth of the stratum spinosum of the skin,noun,"['acanthoses', 'acanthosis', 'acanthotic']"
ameiosis,suppression of one of the meiotic divisions (as in parthenogenesis) resulting in nonreduction of chromosomes,noun,"['ameioses', 'ameiosis']"
elation,pathological euphoria sometimes accompanied by intense pleasure,noun,"['elated', 'elatedly', 'elatedness', 'elatednesses', 'elation', 'elations']"
elastosis,a condition marked by thickening and degeneration of elastic fibers and loss of elasticity in connective tissue especially of the skin (as due to prolonged sun exposure),noun,"['elastoses', 'elastosis']"
elastic,capable of recovering size and shape after deformation,adjective,"['elastic', 'elastically']"
elastin,a protein that is similar to collagen and is the chief constituent of elastic fibers,noun,"['elastin', 'elastins']"
elastolytic,having a catalytic effect on the digestion of elastic tissue,adjective,['elastolytic']
elastase,an enzyme especially of pancreatic juice that digests elastin,noun,"['elastase', 'elastases']"
elephantoid,"resembling, affected by, or relating to elephantiasis",adjective,['elephantoid']
elastica,either of two layers of elastic tissue present in the walls of most arteries:,noun,"['elastica', 'elasticas']"
circulus,an anatomical circle or ring especially of veins or arteries,noun,"['circuli', 'circulus']"
agitation,a state of excessive psychomotor activity accompanied by increased tension and irritability,noun,"['agitated', 'agitation', 'agitations']"
lactated,containing or combined with milk or a milk product,adjective,['lactated']
atactic,lacking regularity or coordination; specifically : characterized by ataxia,adjective,['atactic']
atavism,recurrence in an organism of a trait or character typical of an ancestral form and usually due to genetic recombination,noun,"['atavism', 'atavisms', 'atavistic', 'atavistically']"
capitated,"of, relating to, participating in, or being a health-care system in which a medical provider is given a set fee per patient (as by an HMO) regardless of the treatment required",adjective,"['capitate', 'capitated']"
capitate,the largest bone of the wrist that is situated between the hamate and the trapezoid in the distal row of carpal bones and that articulates with the third metacarpal,noun,"['capitate', 'capitates']"
DiGeorge syndrome,"a rare congenital disease that is characterized especially by absent or underdeveloped thymus and parathyroid glands, heart defects, immunodeficiency, hypocalcemia, and characteristic facial features (as wide-set eyes, small jaws, and low-set ears) and is typically caused by a deletion on the chromosome numbered 22",noun,"['Di George', 'DiGeorge syndrome', ""DiGeorge's syndrome""]"
hemic,"of, relating to, or produced by the blood or the circulation of the blood",adjective,"['haemic', 'hemic']"
hemocuprein,a blue copper-containing protein obtained from red blood cells,noun,"['haemocuprein', 'hemocuprein', 'hemocupreins']"
hemodilution,decreased concentration (as after hemorrhage) of cells and solids in the blood resulting from gain of fluid,noun,"['haemodilute', 'haemodilution', 'hemodilute', 'hemodiluted', 'hemodiluting', 'hemodilution', 'hemodilutions']"
hemolysis,lysis of red blood cells with liberation of hemoglobin,noun,"['haemolysis', 'haemolytic', 'hemolyses', 'hemolysis', 'hemolytic']"
apparatus,a group of anatomical and cytological parts having a common function,noun,"['apparatus', 'apparatuses']"
capacitor,a device giving capacitance and usually consisting of conducting plates or foils separated by thin layers of dielectric (as air or mica) with the plates on opposite sides of the dielectric layers oppositely charged by a source of voltage and the electrical energy of the charged system stored in the polarized dielectric,noun,"['capacitor', 'capacitors']"
applicator,one that applies; specifically : a device for applying a substance (as medicine),noun,"['applicator', 'applicators']"
appearance,the action or process of becoming evident to the senses,noun,"['appear', 'appearance', 'appearances', 'appeared', 'appearing', 'appears']"
appetite,any of the instinctive desires necessary to keep up organic life; especially : the desire to eat,noun,"['appetite', 'appetites', 'appetitive']"
Lipitor,—used for a preparation of the calcium salt of atorvastatin,trademark,['Lipitor']
applanation,abnormal flattening of a convex surface (as of the cornea of the eye),noun,['applanation']
apperception,mental perception; especially : the process of understanding something perceived in terms of previous experience,noun,"['apperception', 'apperceptions', 'apperceptive']"
braille,a system of writing for the blind that uses characters made up of raised dots,noun,"['Braille', 'braille', 'brailled', 'brailles', 'brailling', 'braillist', 'braillists']"
brain,"the portion of the vertebrate central nervous system enclosed in the skull and continuous with the spinal cord through the foramen magnum that is composed of neurons and supporting and nutritive structures (as glia) and that integrates sensory information from inside and outside the body in controlling autonomic function (as heartbeat and respiration), in coordinating and directing correlated motor responses, and in the process of learning",noun,"['brain', 'brains']"
Brill's disease,an acute infectious disease milder than epidemic typhus but caused by the same rickettsia,noun,"['Brill', ""Brill's disease""]"
brachial,of or relating to the arm or a process like an arm,adjective,['brachial']
ail,to affect with a disease or physical or emotional pain or discomfort,transitive verb,"['ail', 'ailed', 'ailing', 'ails']"
brace,"an appliance that gives support to movable parts (as a joint or a fractured bone), to weak muscles (as in paralysis), or to strained ligaments (as of the lower back)",noun,"['brace', 'braces']"
bran,the edible broken seed coats of cereal grain separated from the flour or meal by sifting or bolting,noun,"['bran', 'brans']"
brash,an attack of illness; especially : a short severe illness,noun,"['brash', 'brashes']"
candicidin,an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida,noun,"['candicidin', 'candicidins']"
avianize,to modify or attenuate (as a virus) by repeated culture in a developing chick embryo,transitive verb,"['avianise', 'avianised', 'avianising', 'avianize', 'avianized', 'avianizes', 'avianizing']"
vanillin,a crystalline phenolic aldehyde C8H8O3 that is prepared synthetically or is obtained as the chief fragrant component of vanilla extracted from vanilla beans and that is used especially in flavoring and in perfumery,noun,"['vanillin', 'vanillins']"
wash,to cleanse by or as if by the action of liquid (as water),transitive verb,"['wash', 'wash', 'washed', 'washing', 'washes']"
galvanize,to subject to the action of an electric current especially for the purpose of stimulating physiologically,transitive verb,"['galvanise', 'galvanised', 'galvanising', 'galvanize', 'galvanized', 'galvanizes', 'galvanizing']"
humanize,"to cause (a nonhuman organism or one of its parts) to include a component (as cells, tissues, or genes) of human origin or to produce human substances or components (as insulin)",transitive verb,"['humanisation', 'humanise', 'humanised', 'humanising', 'humanization', 'humanizations', 'humanize', 'humanized', 'humanizer', 'humanizers', 'humanizes', 'humanizing']"
brainwashing,"a forcible indoctrination to induce someone to give up basic political, social, or religious beliefs and attitudes and to accept contrasting regimented ideas",noun,"['brainwash', 'brainwashed', 'brainwasher', 'brainwashers', 'brainwashes', 'brainwashing', 'brainwashings']"
blush,"to become red in the face especially from shame, modesty, or confusion",intransitive verb,"['blush', 'blushed', 'blushes', 'blushful', 'blushing', 'blushingly']"
branch,something that extends from or enters into a main body or source,noun,"['branch', 'branched', 'branches', 'branchier', 'branchiest', 'branching', 'branchless', 'branchy']"
innate,"existing in, belonging to, or determined by factors present in an individual from birth : native, inborn",adjective,"['innate', 'innately', 'innateness', 'innatenesses']"
mannose,an aldose C6H12O6 whose dextrorotatory enantiomer occurs especially as a structural unit of mannans from which it can be recovered by hydrolysis,noun,"['mannose', 'mannoses']"
transmural,passing or administered through an anatomical wall; also : involving the whole thickness of a wall,adjective,"['transmural', 'transmurally']"
monaural,"of, relating to, affecting, or designed for use with one ear",adjective,"['monaural', 'monaurally']"
natural,"having, constituting, or relating to a classification based on features existing in nature",adjective,"['natural', 'naturalness', 'naturalnesses']"
neural,"of, relating to, or affecting a nerve or the nervous system",adjective,"['neural', 'neurally']"
pleural,of or relating to the pleura or the sides of the thorax,adjective,['pleural']
postural,"of, relating to, or involving posture; also : orthostatic",adjective,['postural']
perineural,occurring about or surrounding nervous tissue or a nerve,adjective,['perineural']
intraneural,"situated within, occurring within, or administered by entering a nerve or nervous tissue",adjective,"['intraneural', 'intraneurally']"
antitumor,preventing or inhibiting the formation or growth of tumors : anticancer,adjective,"['antitumor', 'antitumoral', 'antitumour', 'antitumoural', 'anti-tumor', 'anti-tumoral', 'anti-tumour', 'anti-tumoural']"
crural,of or relating to the thigh or leg; specifically : femoral,adjective,['crural']
culture,"the integrated pattern of human behavior that includes thought, speech, action, and artifacts and depends upon the human capacity for learning and transmitting knowledge to succeeding generations",noun,"['cultural', 'culturally', 'culture', 'cultures']"
rounds,a series of professional calls on hospital patients made by a doctor or nurse,noun plural,['rounds']
cough,"to expel air from the lungs suddenly with a sharp, short noise usually in a series of efforts",intransitive verb,"['cough', 'coughed', 'coughing', 'coughs']"
roughage,fiber; also : food (as bran) containing much indigestible material acting as fiber,noun,"['roughage', 'roughages']"
chemoattractant,a chemical agent that induces movement of chemotactic cells in the direction of its highest concentration,noun,"['chemoattractant', 'chemoattraction']"
chemotropism,orientation of cells or organisms in relation to chemical stimuli,noun,"['chemotropic', 'chemotropically', 'chemotropism', 'chemotropisms']"
chemoautotrophic,being autotrophic and oxidizing some inorganic compound as a source of energy,adjective,"['chemoautotrophic', 'chemoautotrophies', 'chemoautotrophy']"
heterotrophic,requiring complex organic compounds of nitrogen and carbon (as that obtained from plant or animal matter) for metabolic synthesis,adjective,"['heterotroph', 'heterotrophic', 'heterotrophically', 'heterotrophies', 'heterotrophism', 'heterotrophisms', 'heterotrophy']"
chemoreceptor,a sense organ (as a taste bud) responding to chemical stimuli,noun,"['chemoceptor', 'chemoreceptor', 'chemoreceptors']"
hematoscope,an instrument for the spectroscopic examination of blood,noun,"['haematoscope', 'hematoscope', 'hematoscopes']"
keratoscope,an instrument for examining the cornea especially to detect irregularities of its anterior surface,noun,"['keratoscope', 'keratoscopies', 'keratoscopy']"
fetoscope,an endoscope for visual examination of the pregnant uterus,noun,"['fetoscope', 'fetoscopes', 'fetoscopies', 'fetoscopy', 'foetoscope']"
leptoscope,an optical instrument used to determine the thickness of plasma membranes,noun,['leptoscope']
aeroscope,an apparatus for collecting small particles and organisms suspended in the air,noun,['aeroscope']
anoscope,an instrument for facilitating visual examination of the anal canal,noun,"['anoscope', 'anoscopes']"
autoscope,a device for recording or magnifying small involuntary movements of the body,noun,"['autoscope', 'autoscopes']"
baroscope,an apparatus for showing that the loss of weight of an object in air equals the weight of the air displaced by it,noun,"['baroscope', 'baroscopes']"
cystoscope,a rigid endoscope for inspecting and passing instruments into the urethra and bladder,noun,"['cystoscope', 'cystoscopes', 'cystoscopic', 'cystoscopies', 'cystoscopist', 'cystoscopists', 'cystoscopy']"
endoscope,an illuminated usually fiber-optic flexible or rigid tubular instrument for visualizing the interior of a hollow organ or part (as the bladder or esophagus) for diagnostic or therapeutic purposes that typically has one or more channels to enable passage of instruments (as forceps or scissors),noun,"['endoscope', 'endoscopes', 'endoscopies', 'endoscopy']"
fetoscopy,examination of the pregnant uterus by means of a fiber-optic tube,noun,"['fetoscopies', 'fetoscopy', 'foetoscopy']"
vesicovaginal,"of, relating to, or connecting the urinary bladder and vagina",adjective,['vesicovaginal']
olivospinal,of or relating to the olivary nuclei and the spinal cord,adjective,['olivospinal']
tectospinal,"of, relating to, or being a tract of myelinated nerve fibers that mediate various visual and auditory reflexes and that originate in the superior colliculus, cross to the opposite side, and descend in the ventral funiculus of the spinal cord to terminate in the ventral horn of gray matter in the cervical region of the spinal cord",adjective,['tectospinal']
cerebrospinal,of or relating to the brain and spinal cord or to these together with the cranial and spinal nerves that innervate voluntary muscles,adjective,['cerebrospinal']
bulbospinal,"of, relating to, or interconnecting the medulla oblongata and the spinal cord",adjective,['bulbospinal']
nasospinale,the point of intersection of a line uniting the lowest points on the margin of each nasal opening with the midsagittal plane,noun,"['nasospinale', 'nasospinales']"
rubrospinal,"of, relating to, or connecting the red nucleus and the spinal cord",adjective,['rubrospinal']
vesical,of or relating to a bladder and especially to the urinary bladder,adjective,['vesical']
cervicovaginal,of or relating to the uterine cervix and the vagina,adjective,['cervicovaginal']
vesicourethral,"of, relating to, or connecting the urinary bladder and the urethra",adjective,['vesicourethral']
vesicouterine,"of, relating to, or connecting the urinary bladder and the uterus",adjective,['vesicouterine']
denitrification,the loss or removal of nitrogen or nitrogen compounds; specifically : reduction of nitrates or nitrites commonly by bacteria (as in soil) that usually results in the escape of nitrogen into the air,noun,"['denitrification', 'denitrifications', 'denitrified', 'denitrifier', 'denitrifiers', 'denitrifies', 'denitrify', 'denitrifying']"
degenerate,"having declined (as in nature, character, structure, or function) from an ancestral or former state; especially : having deteriorated progressively (as in the process of evolution) especially through loss of structure and function",adjective,"['degenerate', 'degenerately', 'degenerateness', 'degeneratenesses']"
bat,any of an order (Chiroptera) of nocturnal placental flying mammals with forelimbs modified to form wings,noun,"['baht', 'bat', 'bats', ""off one's own bat"", 'off the bat']"
eat,"to take in through the mouth as food : ingest, chew, and swallow in turn",verb,"['ate', 'eat', 'eat alive', 'eat one out of house and home', ""eat one's heart out"", ""eat one's words"", ""eat out of one's hand"", ""eat someone's lunch"", 'eaten', 'eater', 'eaters', 'eating', 'eats', 'et']"
khat,a shrub (Catha edulis) cultivated in the Middle East and Africa for its leaves and buds that are the source of a habituating stimulant when chewed or used as a tea,noun,"['kat', 'kats', 'khat', 'khats', 'qat', 'qats', 'quat', 'quats']"
mat,lacking or deprived of luster or gloss : having a usually smooth even surface free from shine or highlights,adjective,"['mat', 'matt', 'matte']"
bite,"to seize especially with teeth or jaws so as to enter, grip, or wound",verb,"['bate', 'bit', 'bite', 'bite off more than one can chew', ""bite one's tongue"", 'bite the bullet', 'bite the dust', 'bite the hand that feeds one', 'biter', 'biters', 'bites', 'biting', 'bitten', 'bote']"
bath,a washing or soaking (as in water) of all or part of the body,noun,"['bath', 'baths']"
entomion,the tip of the thickened angular part of the parietal bone that articulates with the mastoid portion of the temporal bone,noun,"['entomia', 'entomion']"
arithmomania,an abnormal compulsion to count objects or actions and make mathematical calculations,noun,['arithmomania']
onomatomania,an abnormal obsession with words or names; especially : a mania for repeating certain words or sounds,noun,"['onomatomania', 'onomatomanias']"
entomologist,a person who is trained in or working in entomology,noun,"['entomologist', 'entomologists']"
endomorphic,of or relating to the component in W. H. Sheldon's classification of body types that measures the degree to which the digestive viscera are massive and the body build rounded and soft,adjective,"['endomorphic', 'endomorphies', 'endomorphy']"
entamoeba,a genus of amoeboid protozoans (order Amoebida) that are parasitic in the vertebrate digestive tract and especially in the intestines and that include the causative agent (E. histolytica) of amebic dysentery,noun,"['entameba', 'entamebae', 'entamebas', 'entamebic', 'entamoeba', 'entamoebae', 'entamoebas', 'entamoebic']"
egomania,the quality or state of being extremely egocentric,noun,"['egomania', 'egomaniac', 'egomaniacal', 'egomaniacally', 'egomaniacs', 'egomanias']"
entoconid,the posterointernal cusp of the talon of a lower molar tooth,noun,"['entoconid', 'entoconids']"
ergomania,excessive devotion to work especially as a symptom of mental illness,noun,"['ergomania', 'ergomanias']"
laryngotracheobronchitis,"inflammation of the larynx, trachea, and bronchi; specifically : an acute severe infection of these parts marked by swelling of the tissues and excessive secretion of mucus leading to more or less complete obstruction of the respiratory passages",noun,"['laryngotracheobronchitides', 'laryngotracheobronchitis', 'laryngotracheobronchitises']"
nasotracheobronchial,"of, relating to, being, or performed by means of intubation of a bronchus by way of the nasal passages and trachea",adjective,['nasotracheobronchial']
laryngography,X-ray depiction of the larynx after use of a radiopaque material,noun,"['laryngographies', 'laryngography']"
laryngopharynx,the lower part of the pharynx lying behind or adjacent to the larynx,noun,"['laryngopharynges', 'laryngopharynx', 'laryngopharynxes']"
laryngoscope,an endoscope for visually examining the interior of the larynx,noun,"['laryngoscope', 'laryngoscopes', 'laryngoscopic', 'laryngoscopical', 'laryngoscopically', 'laryngoscopies', 'laryngoscopy']"
tracheobronchial,"of, relating to, affecting, or produced in the trachea and bronchi",adjective,['tracheobronchial']
Addis count,"a technique for the quantitative determination of cells, casts, and protein in a 12-hour urine sample used in the diagnosis and treatment of kidney disease",noun,"['Addis', 'Addis count']"
kidney,"one of a pair of vertebrate organs situated in the body cavity near the spinal column that excrete waste products of metabolism, in humans are bean-shaped organs about 41/2 inches (111/2 centimeters) long lying behind the peritoneum in a mass of fatty tissue, and consist chiefly of nephrons by which urine is secreted, collected, and discharged into the renal pelvis whence it is conveyed by the ureter to the bladder",noun,"['kidney', 'kidneys']"
embed,to prepare (a microscopy specimen) for sectioning by infiltrating with and enclosing in a supporting substance,transitive verb,"['embed', 'embedded', 'embedding', 'embedment', 'embedments', 'imbed', 'imbedded', 'imbedding']"
hepatology,"a branch of medicine concerned with the structure, functions, diseases, and abnormalities of the liver",noun,"['hepatologies', 'hepatologist', 'hepatology']"
Geotrichum,a genus of Fungi Imperfecti of the family Moniliaceae comprising fungi that usually produce arthrospores and including one (G. candidum) that causes human geotrichosis,noun,['Geotrichum']
normocalcemia,the presence of a normal concentration of calcium in the blood,noun,"['normocalcaemia', 'normocalcaemic', 'normocalcemia', 'normocalcemic']"
salpingostomy,a surgical opening of a fallopian tube (as to establish patency),noun,"['salpingostomies', 'salpingostomy']"
palatoplasty,plastic surgery for repair of the palate (as in cleft palate),noun,"['palatoplasties', 'palatoplasty']"
salpingography,visualization of a fallopian tube by radiography following injection of an opaque medium,noun,"['salpingographies', 'salpingography']"
sialodochoplasty,plastic surgery performed on a duct of a salivary gland,noun,"['sialodochoplasties', 'sialodochoplasty']"
amplitude,"the extent or range of a quality, property, process, or phenomenon: as",noun,"['amplitude', 'amplitudes', 'argument']"
carboligase,an enzyme that catalyzes the combination of carbon atoms in some metabolic reactions,noun,['carboligase']
amplify,to make larger or greater (as in amount or intensity),transitive verb,"['amplification', 'amplified', 'amplify', 'amplifying']"
amphiaster,the achromatic figure of mitotic cell division especially in animal cells in which two asters are connected by a spindle,noun,"['amphiaster', 'amphiasters', 'amphiastral']"
amplifier,"one that amplifies; specifically : an electronic device (as in a computer or sound-reproducing system) for amplifying voltage, current, or power",noun,"['amplifier', 'amplifiers']"
amperage,the strength of a current of electricity expressed in amperes,noun,"['amperage', 'amperages']"
